Body Regions|A01
Area Postrema|A06.688.178.500,A08.186.211.132.810.591.500.286,A08.713.049.500
Median Eminence|A06.688.178.750,A06.688.357.500,A08.186.211.180.497.352.435.249,A08.186.211.200.317.357.352.435.249,A08.713.049.750,A08.713.357.500
Subcommissural Organ|A06.688.178.937,A08.186.211.132.659.800.713,A08.713.049.937
Subfornical Organ|A06.688.178.968,A08.713.049.968
Glomus Tympanicum|A06.688.267,A08.675.650.915.500.600.360,A08.713.228,A08.800.950.500.600.360,A09.246.397.400,A11.671.650.915.500.600.360
Hypothalamo-Hypophyseal System|A06.688.357,A08.186.211.180.497.352.435,A08.186.211.200.317.357.352.435,A08.713.357
Hypothalamic-Pituitary-Gonadal Axis|A06.688.357.250,A08.186.211.180.497.352.435.125,A08.186.211.200.317.357.352.435.125,A08.713.357.250
Cardiovascular System|A07
Blood Vessels|A07.015
Adventitia|A07.015.057,A10.165.189
Arteries|A07.015.114
Aorta|A07.015.114.056
Aorta, Abdominal|A07.015.114.056.205
Aorta, Thoracic|A07.015.114.056.372
Sinus of Valsalva|A07.015.114.056.847
Arterioles|A07.015.114.060,A07.015.461.080
Axillary Artery|A07.015.114.085
Basilar Artery|A07.015.114.106
Brachial Artery|A07.015.114.139
Brachiocephalic Trunk|A07.015.114.145
Bronchial Arteries|A07.015.114.158
Carotid Arteries|A07.015.114.186
Carotid Artery, Common|A07.015.114.186.200
Carotid Artery, External|A07.015.114.186.200.210
Carotid Artery, Internal|A07.015.114.186.200.230
Carotid Sinus|A07.015.114.186.456
Celiac Artery|A07.015.114.207
Cerebral Arteries|A07.015.114.228
Anterior Cerebral Artery|A07.015.114.228.100
Circle of Willis|A07.015.114.228.351
Middle Cerebral Artery|A07.015.114.228.550
Posterior Cerebral Artery|A07.015.114.228.700
Temporal Arteries|A07.015.114.228.868
Ciliary Arteries|A07.015.114.248
Coronary Vessels|A07.015.114.269,A07.015.908.194
Epigastric Arteries|A07.015.114.330
Femoral Artery|A07.015.114.351
Gastric Artery|A07.015.114.365
Gastroepiploic Artery|A07.015.114.379
Hepatic Artery|A07.015.114.407
Iliac Artery|A07.015.114.444
Maxillary Artery|A07.015.114.523
Meningeal Arteries|A07.015.114.545
Mesenteric Arteries|A07.015.114.565
Mesenteric Artery, Inferior|A07.015.114.565.510
Mesenteric Artery, Superior|A07.015.114.565.755
Ophthalmic Artery|A07.015.114.622
Popliteal Artery|A07.015.114.681
Pulmonary Artery|A07.015.114.715
Radial Artery|A07.015.114.740
Renal Artery|A07.015.114.745
Retinal Artery|A07.015.114.765,A07.015.611.647
Splenic Artery|A07.015.114.814
Subclavian Artery|A07.015.114.839
Thoracic Arteries|A07.015.114.891
Mammary Arteries|A07.015.114.891.525
Tibial Arteries|A07.015.114.895
Ulnar Artery|A07.015.114.920
Umbilical Arteries|A07.015.114.929,A16.378.693.641
Uterine Artery|A07.015.114.940
Vertebral Artery|A07.015.114.955
Microvessels|A07.015.461
Arteriovenous Anastomosis|A07.015.461.085
Capillaries|A07.015.461.165
Venules|A07.015.461.920,A07.015.908.952
Retinal Vessels|A07.015.611
Retinal Vein|A07.015.611.773,A07.015.908.783
Tunica Intima|A07.015.700
Endothelium, Vascular|A07.015.700.500,A10.272.491.355
Pericytes|A07.015.700.750,A10.272.491.677,A11.710,A16.504.660.600
Tunica Media|A07.015.733
Vasa Nervorum|A07.015.765
Vasa Vasorum|A07.015.836
Veins|A07.015.908
Axillary Vein|A07.015.908.077
Azygos Vein|A07.015.908.106
Brachiocephalic Veins|A07.015.908.130
Cerebral Veins|A07.015.908.155
Coronary Sinus|A07.015.908.194.500
Cranial Sinuses|A07.015.908.224
Cavernous Sinus|A07.015.908.224.334
Superior Sagittal Sinus|A07.015.908.224.667
Transverse Sinuses|A07.015.908.224.833
Femoral Vein|A07.015.908.314
Hepatic Veins|A07.015.908.380
Iliac Vein|A07.015.908.427
Jugular Veins|A07.015.908.498
Popliteal Vein|A07.015.908.641
Portal System|A07.015.908.670
Mesenteric Veins|A07.015.908.670.385
Portal Vein|A07.015.908.670.567
Splenic Vein|A07.015.908.670.730
Umbilical Veins|A07.015.908.670.874,A16.378.693.807
Pulmonary Veins|A07.015.908.713
Renal Veins|A07.015.908.752
Saphenous Vein|A07.015.908.819
Subclavian Vein|A07.015.908.877
Venae Cavae|A07.015.908.949
Vena Cava, Inferior|A07.015.908.949.648
Vena Cava, Superior|A07.015.908.949.815
Venous Valves|A07.015.908.950
Blood-Aqueous Barrier|A07.030,A09.371.894.030
Blood-Brain Barrier|A07.035,A08.186.211.035
Blood-Nerve Barrier|A07.037,A08.800.800.090
Blood-Retinal Barrier|A07.040,A09.371.729.055
Glymphatic System|A07.521,A08.186.211.150,A15.382.520.075
Heart|A07.541
Endocardium|A07.541.207
Fetal Heart|A07.541.278,A16.378.303
Ductus Arteriosus|A07.541.278.395,A16.378.303.395
Truncus Arteriosus|A07.541.278.930,A16.378.303.930
Heart Atria|A07.541.358
Atrial Appendage|A07.541.358.100
Heart Conduction System|A07.541.409
Atrioventricular Node|A07.541.409.147
Bundle of His|A07.541.409.273
Purkinje Fibers|A07.541.409.683
Sinoatrial Node|A07.541.409.819
Heart Septum|A07.541.459
Atrial Septum|A07.541.459.249
Endocardial Cushions|A07.541.459.374,A16.378.303.662
Foramen Ovale|A07.541.459.500
Ventricular Septum|A07.541.459.750
Heart Valves|A07.541.510
Aortic Valve|A07.541.510.110
Chordae Tendineae|A07.541.510.240
Mitral Valve|A07.541.510.507
Pulmonary Valve|A07.541.510.738
Tricuspid Valve|A07.541.510.893
Heart Ventricles|A07.541.560
Myoblasts, Cardiac|A07.541.704.500,A10.690.552.750.500,A11.872.620.470
Myocytes, Cardiac|A07.541.704.570,A10.690.552.750.570,A11.620.500
Pericardium|A07.541.795,A10.615.789.470
Pericardial Fluid|A07.541.795.500,A10.615.789.470.500,A12.207.270.651
Nervous System|A08
Central Nervous System|A08.186
Brain|A08.186.211
Brain Stem|A08.186.211.132
Mesencephalon|A08.186.211.132.659
Cerebral Peduncle|A08.186.211.132.659.413
Cerebral Crus|A08.186.211.132.659.413.437
Substantia Nigra|A08.186.211.132.659.413.656
Pars Compacta|A08.186.211.132.659.413.656.249
Pars Reticulata|A08.186.211.132.659.413.656.500
Tegmentum Mesencephali|A08.186.211.132.659.413.875
Cerebral Aqueduct|A08.186.211.132.659.413.875.187,A08.186.211.140.187
Midbrain Reticular Formation|A08.186.211.132.659.413.875.284,A08.186.211.132.772.322
Pedunculopontine Tegmental Nucleus|A08.186.211.132.659.413.875.284.500,A08.186.211.132.772.322.500
Oculomotor Nuclear Complex|A08.186.211.132.659.413.875.381
Edinger-Westphal Nucleus|A08.186.211.132.659.413.875.381.500
Periaqueductal Gray|A08.186.211.132.659.413.875.595
Raphe Nuclei|A08.186.211.132.659.413.875.618,A08.186.211.132.810.428.600.650.562,A08.186.211.132.810.591.500.662
Dorsal Raphe Nucleus|A08.186.211.132.659.413.875.618.249
Interpeduncular Nucleus|A08.186.211.132.659.413.875.618.436
Midbrain Raphe Nuclei|A08.186.211.132.659.413.875.618.624
Red Nucleus|A08.186.211.132.659.413.875.642
Ventral Tegmental Area|A08.186.211.132.659.413.875.820
Locus Coeruleus|A08.186.211.132.659.473,A08.186.211.132.810.428.600.650.437
Tectum Mesencephali|A08.186.211.132.659.800
Inferior Colliculi|A08.186.211.132.659.800.407
Posterior Cerebellar Commissure|A08.186.211.132.659.800.611
Pretectal Region|A08.186.211.132.659.800.662
Superior Colliculi|A08.186.211.132.659.800.816
Reticular Formation|A08.186.211.132.772
Respiratory Center|A08.186.211.132.772.646
Rhombencephalon|A08.186.211.132.810
Metencephalon|A08.186.211.132.810.428
Cerebellum|A08.186.211.132.810.428.200
Cerebellar Cortex|A08.186.211.132.810.428.200.212
Cerebellar Golgi Cells|A08.186.211.132.810.428.200.212.150,A08.675.358.200,A11.671.358.131
Cerebellar Vermis|A08.186.211.132.810.428.200.212.299
Purkinje Cells|A08.186.211.132.810.428.200.212.600,A08.675.784,A11.671.784
Cerebellar Nuclei|A08.186.211.132.810.428.200.337
Cerebellopontine Angle|A08.186.211.132.810.428.200.462
Pons|A08.186.211.132.810.428.600
Barrington's Nucleus|A08.186.211.132.810.428.600.067
Cochlear Nucleus|A08.186.211.132.810.428.600.135
Kolliker-Fuse Nucleus|A08.186.211.132.810.428.600.392
Middle Cerebellar Peduncle|A08.186.211.132.810.428.600.521
Pontine Tegmentum|A08.186.211.132.810.428.600.650
Abducens Nucleus|A08.186.211.132.810.428.600.650.249
Facial Nucleus|A08.186.211.132.810.428.600.650.374
Parabrachial Nucleus|A08.186.211.132.810.428.600.650.500
Nucleus Raphe Magnus|A08.186.211.132.810.428.600.650.562.500
Superior Olivary Complex|A08.186.211.132.810.428.600.650.625,A08.186.211.132.810.591.750.500
Trapezoid Body|A08.186.211.132.810.428.600.650.687
Trigeminal Motor Nucleus|A08.186.211.132.810.428.600.650.718,A08.186.211.132.931.459
Trigeminal Nucleus, Spinal|A08.186.211.132.810.428.600.650.750,A08.186.211.132.810.591.500.875,A08.186.211.132.931.920
Vestibular Nuclei|A08.186.211.132.810.428.600.800,A09.923.375
Vestibular Nucleus, Lateral|A08.186.211.132.810.428.600.800.800,A09.923.375.800
Myelencephalon|A08.186.211.132.810.591
Medulla Oblongata|A08.186.211.132.810.591.500
Inferior Olivary Complex|A08.186.211.132.810.591.500.430,A08.186.211.132.810.591.750.250
Nucleus Raphe Obscurus|A08.186.211.132.810.591.500.662.436
Nucleus Raphe Pallidus|A08.186.211.132.810.591.500.662.624
Solitary Nucleus|A08.186.211.132.810.591.500.750
Trigeminal Caudal Nucleus|A08.186.211.132.810.591.500.875.500,A08.186.211.132.931.920.927
Olivary Nucleus|A08.186.211.132.810.591.750
Tectospinal Fibers|A08.186.211.132.810.753
Trigeminal Nuclei|A08.186.211.132.931
Cerebral Ventricles|A08.186.211.140
Choroid Plexus|A08.186.211.140.298
Ependyma|A08.186.211.140.460,A10.755.260
Fourth Ventricle|A08.186.211.140.500
Lateral Ventricles|A08.186.211.140.650
Septum Pellucidum|A08.186.211.140.814,A08.186.211.180.750.900,A08.186.211.200.885.750.814
Third Ventricle|A08.186.211.140.840
Gray Matter|A08.186.211.168,A08.186.854.348
Limbic System|A08.186.211.180
Amygdala|A08.186.211.180.090,A08.186.211.200.885.287.249.152
Basolateral Nuclear Complex|A08.186.211.180.090.500,A08.186.211.200.885.287.249.152.500
Central Amygdaloid Nucleus|A08.186.211.180.090.750,A08.186.211.200.885.287.249.152.750
Corticomedial Nuclear Complex|A08.186.211.180.090.875,A08.186.211.200.885.287.249.152.875
Periamygdaloid Cortex|A08.186.211.180.090.875.500,A08.186.211.180.590.750.612,A08.186.211.200.885.287.249.152.875.500,A08.186.211.200.885.287.500.382.750.612
Epithalamus|A08.186.211.180.200,A08.186.211.200.317.200
Habenula|A08.186.211.180.200.360,A08.186.211.200.317.200.360
Hippocampus|A08.186.211.180.405,A08.186.211.200.885.287.500.345
CA1 Region, Hippocampal|A08.186.211.180.405.099,A08.186.211.200.885.287.500.345.099
CA2 Region, Hippocampal|A08.186.211.180.405.149,A08.186.211.200.885.287.500.345.149
CA3 Region, Hippocampal|A08.186.211.180.405.174,A08.186.211.200.885.287.500.345.174
Dentate Gyrus|A08.186.211.180.405.200,A08.186.211.200.885.287.500.345.200
Mossy Fibers, Hippocampal|A08.186.211.180.405.200.500,A08.186.211.200.885.287.500.345.200.500,A08.675.542.145.750.500,A08.850.700.500,A11.671.501.145.438
Fornix, Brain|A08.186.211.180.405.600,A08.186.211.200.885.287.500.345.600
Schaffer Collaterals|A08.186.211.180.405.800,A08.186.211.200.885.287.500.345.800,A08.675.542.145.875,A11.284.180.075.624,A11.671.501.145.875
Hypothalamus|A08.186.211.180.497,A08.186.211.200.317.357
Hypothalamic Area, Lateral|A08.186.211.180.497.300,A08.186.211.200.317.357.300
Hypothalamus, Anterior|A08.186.211.180.497.342,A08.186.211.200.317.357.342
Anterior Hypothalamic Nucleus|A08.186.211.180.497.342.063,A08.186.211.200.317.357.342.063
Organum Vasculosum|A08.186.211.180.497.342.231,A08.186.211.200.317.357.342.315,A08.186.211.200.885.287.500.814.695.249.500
Paraventricular Hypothalamic Nucleus|A08.186.211.180.497.342.400,A08.186.211.200.317.357.342.400
Preoptic Area|A08.186.211.180.497.342.450,A08.186.211.200.317.357.342.450
Suprachiasmatic Nucleus|A08.186.211.180.497.342.625,A08.186.211.200.317.357.342.625
Suprachiasmatic Nucleus Neurons|A08.186.211.180.497.342.625.500,A08.186.211.200.317.357.342.625.500,A08.675.947,A11.671.947
Supraoptic Nucleus|A08.186.211.180.497.342.650,A08.186.211.200.317.357.342.650
Hypothalamus, Middle|A08.186.211.180.497.352,A08.186.211.200.317.357.352
Arcuate Nucleus of Hypothalamus|A08.186.211.180.497.352.081,A08.186.211.200.317.357.352.081
Dorsomedial Hypothalamic Nucleus|A08.186.211.180.497.352.270,A08.186.211.200.317.357.352.270
Tuber Cinereum|A08.186.211.180.497.352.870,A08.186.211.200.317.357.352.870
Ventromedial Hypothalamic Nucleus|A08.186.211.180.497.352.953,A08.186.211.200.317.357.352.953
Hypothalamus, Posterior|A08.186.211.180.497.362,A08.186.211.200.317.357.362
Mammillary Bodies|A08.186.211.180.497.362.500,A08.186.211.200.317.357.362.500
Limbic Lobe|A08.186.211.180.590,A08.186.211.200.885.287.500.382
Gyrus Cinguli|A08.186.211.180.590.500,A08.186.211.200.885.287.500.382.500
Parahippocampal Gyrus|A08.186.211.180.590.750,A08.186.211.200.885.287.500.382.750
Entorhinal Cortex|A08.186.211.180.590.750.225,A08.186.211.200.885.287.500.382.750.225,A08.186.211.200.885.287.500.814.695.374,A08.186.211.200.885.287.750.562
Olfactory Pathways|A08.186.211.180.699,A08.612.220.640
Perforant Pathway|A08.186.211.180.730,A08.612.600
Septum of Brain|A08.186.211.180.750,A08.186.211.200.885.750
Septal Nuclei|A08.186.211.180.750.800,A08.186.211.200.885.750.800
Substantia Innominata|A08.186.211.180.820,A08.186.211.200.885.287.249.880
Prosencephalon|A08.186.211.200
Diencephalon|A08.186.211.200.317
Optic Chiasm|A08.186.211.200.317.578,A08.800.800.120.680.600
Optic Tract|A08.186.211.200.317.689
Subthalamus|A08.186.211.200.317.800
Entopeduncular Nucleus|A08.186.211.200.317.800.240
Subthalamic Nucleus|A08.186.211.200.317.800.800
Zona Incerta|A08.186.211.200.317.800.900
Thalamus|A08.186.211.200.317.826
Thalamic Nuclei|A08.186.211.200.317.826.701
Anterior Thalamic Nuclei|A08.186.211.200.317.826.701.080
Geniculate Bodies|A08.186.211.200.317.826.701.444
Intralaminar Thalamic Nuclei|A08.186.211.200.317.826.701.460
Lateral Thalamic Nuclei|A08.186.211.200.317.826.701.485
Pulvinar|A08.186.211.200.317.826.701.485.600
Mediodorsal Thalamic Nucleus|A08.186.211.200.317.826.701.490
Midline Thalamic Nuclei|A08.186.211.200.317.826.701.500
Posterior Thalamic Nuclei|A08.186.211.200.317.826.701.700
Ventral Thalamic Nuclei|A08.186.211.200.317.826.701.900
Telencephalon|A08.186.211.200.885
Cerebrum|A08.186.211.200.885.287
Basal Ganglia|A08.186.211.200.885.287.249
Claustrum|A08.186.211.200.885.287.249.320
Corpus Striatum|A08.186.211.200.885.287.249.487
Globus Pallidus|A08.186.211.200.885.287.249.487.397
Neostriatum|A08.186.211.200.885.287.249.487.550
Caudate Nucleus|A08.186.211.200.885.287.249.487.550.184
High Vocal Center|A08.186.211.200.885.287.249.487.550.484,A13.468
Putamen|A08.186.211.200.885.287.249.487.550.784
Ventral Striatum|A08.186.211.200.885.287.249.487.775
Nucleus Accumbens|A08.186.211.200.885.287.249.487.775.500
Olfactory Tubercle|A08.186.211.200.885.287.249.487.775.750,A08.186.211.200.885.287.500.814.695.500,A08.186.211.200.885.287.750.656
Islands of Calleja|A08.186.211.200.885.287.249.487.775.750.500,A08.186.211.200.885.287.500.814.695.500.500,A08.186.211.200.885.287.750.656.500
Basal Nucleus of Meynert|A08.186.211.200.885.287.249.880.100
Cerebral Cortex|A08.186.211.200.885.287.500
Frontal Lobe|A08.186.211.200.885.287.500.270
Motor Cortex|A08.186.211.200.885.287.500.270.548,A08.186.211.200.885.287.500.814.624
Prefrontal Cortex|A08.186.211.200.885.287.500.270.700
Broca Area|A08.186.211.200.885.287.500.270.700.500
Dorsolateral Prefrontal Cortex|A08.186.211.200.885.287.500.270.700.750
Uncinate Fasciculus|A08.186.211.200.885.287.500.270.850,A08.186.211.200.885.287.500.863.712
Insular Cortex|A08.186.211.200.885.287.500.364
Neocortex|A08.186.211.200.885.287.500.420
Ganglionic Eminence|A08.186.211.200.885.287.500.420.500,A16.254.875
Occipital Lobe|A08.186.211.200.885.287.500.571
Visual Cortex|A08.186.211.200.885.287.500.571.735,A08.186.211.200.885.287.500.814.953
Primary Visual Cortex|A08.186.211.200.885.287.500.571.735.500,A08.186.211.200.885.287.500.814.953.500
Parietal Lobe|A08.186.211.200.885.287.500.670
Somatosensory Cortex|A08.186.211.200.885.287.500.670.675,A08.186.211.200.885.287.500.814.906
Wernicke Area|A08.186.211.200.885.287.500.670.837,A08.186.211.200.885.287.500.863.850
Sensorimotor Cortex|A08.186.211.200.885.287.500.814
Auditory Cortex|A08.186.211.200.885.287.500.814.249,A08.186.211.200.885.287.500.863.297
Olfactory Cortex|A08.186.211.200.885.287.500.814.695,A08.186.211.200.885.287.750
Basal Forebrain|A08.186.211.200.885.287.500.814.695.249,A08.186.211.200.885.287.750.374
Piriform Cortex|A08.186.211.200.885.287.500.814.695.750,A08.186.211.200.885.287.750.750
Temporal Lobe|A08.186.211.200.885.287.500.863
Perirhinal Cortex|A08.186.211.200.885.287.500.863.574
Diagonal Band of Broca|A08.186.211.200.885.380
External Capsule|A08.186.211.200.885.382
Internal Capsule|A08.186.211.200.885.385,A08.612.435
Olfactory Bulb|A08.186.211.200.885.388
Telencephalic Commissures|A08.186.211.200.885.800
Anterior Commissure, Brain|A08.186.211.200.885.800.500
Corpus Callosum|A08.186.211.200.885.800.750
White Matter|A08.186.211.204,A08.186.854.880
Meninges|A08.186.566
Arachnoid|A08.186.566.166
Subarachnoid Space|A08.186.566.166.686
Cisterna Magna|A08.186.566.166.686.351
Dura Mater|A08.186.566.395
Subdural Space|A08.186.566.395.687
Pia Mater|A08.186.566.731
Spinal Cord|A08.186.854
Cervical Cord|A08.186.854.126
Extrapyramidal Tracts|A08.186.854.253,A08.612.380.239
Pyramidal Tracts|A08.186.854.300,A08.612.380.730
Spinal Cord Lateral Horn|A08.186.854.443
Spinal Cord Dorsal Horn|A08.186.854.697
Posterior Horn Cells|A08.186.854.697.500,A08.675.650.675,A11.671.650.675
Substantia Gelatinosa|A08.186.854.697.500.500,A08.675.650.675.800,A11.671.650.675.800
Spinal Cord Ventral Horn|A08.186.854.729
Anterior Horn Cells|A08.186.854.729.500,A08.675.655.500.050,A11.671.655.500.050
Spinothalamic Tracts|A08.186.854.761,A08.612.220.735
Ganglia|A08.340
Ganglia, Autonomic|A08.340.315,A08.800.050.300
Ganglia, Parasympathetic|A08.340.315.300,A08.800.050.300.250,A08.800.050.600.300
Ganglia, Sympathetic|A08.340.315.350,A08.800.050.300.300,A08.800.050.800.300
Stellate Ganglion|A08.340.315.350.800,A08.800.050.300.300.800,A08.800.050.800.300.800
Superior Cervical Ganglion|A08.340.315.350.850,A08.800.050.300.300.850,A08.800.050.800.300.850
Ganglia, Invertebrate|A08.340.352,A13.408
Ganglia, Sensory|A08.340.390,A08.800.350
Ganglia, Spinal|A08.340.390.340,A08.800.350.340,A08.800.800.720.725.350
Geniculate Ganglion|A08.340.390.380,A08.800.350.380,A08.800.800.120.250.280
Nodose Ganglion|A08.340.390.550,A08.800.050.050.925.550,A08.800.050.600.825.550,A08.800.350.550,A08.800.800.060.920.550,A08.800.800.120.900.550
Spiral Ganglion|A08.340.390.800,A08.800.350.800,A08.800.800.120.910.120.800,A09.246.300.246.900
Trigeminal Ganglion|A08.340.390.850,A08.800.350.850,A08.800.800.120.760.825
Satellite Cells, Perineuronal|A08.340.685,A08.637.685,A11.650.775
Nerve Net|A08.511
Central Pattern Generators|A08.511.500
Neural Pathways|A08.612
Afferent Pathways|A08.612.220
Auditory Pathways|A08.612.220.110
Spinocerebellar Tracts|A08.612.220.725
Visceral Afferents|A08.612.220.830
Visual Pathways|A08.612.220.860
Default Mode Network|A08.612.300
Efferent Pathways|A08.612.380
Medial Forebrain Bundle|A08.612.492
Neuroglia|A08.637,A11.650
Astrocytes|A08.637.200,A11.650.200
Ependymoglial Cells|A08.637.300,A11.650.300
Microglia|A08.637.400,A11.650.400
Neuropil|A08.637.500,A08.675.703,A11.650.500,A11.671.685
Neuropil Threads|A08.637.500.550,A08.675.703.550,A11.284.430.214.190.750.602.620,A11.650.500.550,A11.671.685.550
Oligodendrocyte Precursor Cells|A08.637.550,A11.650.550,A11.872.653.500
Oligodendroglia|A08.637.600,A11.650.600
Myelin Sheath|A08.637.600.500,A08.637.800.500,A08.675.542.512.560,A08.800.800.690.500,A10.755.503,A11.284.149.165.600,A11.650.600.500,A11.650.800.500,A11.671.501.512.560
Schwann Cells|A08.637.800,A08.800.800.690,A11.650.800
Neurilemma|A08.637.800.500.550,A08.675.542.512.560.550,A08.800.800.690.500.550,A10.755.503.550,A11.650.800.500.550,A11.671.501.512.560.550
Ranvier's Nodes|A08.637.800.500.700,A08.675.542.512.560.700,A08.800.800.690.500.700,A10.755.503.700,A11.284.149.165.760,A11.650.800.500.700,A11.671.501.512.560.700
Neurons|A08.675,A11.671
Adrenergic Neurons|A08.675.100,A11.671.050
Adrenergic Fibers|A08.675.100.500,A08.675.542.075,A11.671.501.075
Cholinergic Neurons|A08.675.127,A11.671.188
Cholinergic Fibers|A08.675.127.500,A08.675.542.234,A11.671.188.500,A11.671.501.234
Autonomic Fibers, Preganglionic|A08.675.127.500.060,A08.675.542.234.060,A08.800.050.050.060,A08.800.800.060.060,A11.671.188.500.060,A11.671.501.234.060
Parasympathetic Fibers, Postganglionic|A08.675.127.500.700,A08.675.542.100.700,A08.675.542.234.700,A08.800.050.050.050.700,A08.800.050.600.650,A08.800.800.060.050.700,A11.671.188.500.700,A11.671.501.100.700,A11.671.501.234.700
